user_name,user_mail,category_id
Christy Zhu,christy12@adventure-works.com,
Julio Ruiz,julio1@adventure-works.com,1
Curtis Lu,curtis9@adventure-works.com,9
Ruben Prasad,ruben10@adventure-works.com,7
Albert Alvarez,albert7@adventure-works.com,3
Cole Watson,cole1@adventure-works.com,4
Sydney Wright,sydney61@adventure-works.com,6
Colin Anand,colin45@adventure-works.com,7
Rachael Martinez,rachael16@adventure-works.com,
Emma Brown,emma3@adventure-works.com,
Courtney Edwards,courtney1@adventure-works.com,
Edward Brown,edward26@adventure-works.com,
Brad Deng,brad2@adventure-works.com,
Martha Xu,martha12@adventure-works.com,
Katrina Raji,katrina20@adventure-works.com,
Abigail Henderson,abigail73@adventure-works.com,
Melanie Sanchez,melanie47@adventure-works.com,
Louis Xie,louis20@adventure-works.com,
